system,target,n,cefr_exact_accuracy,cefr_adjacent_accuracy,cefr_rmse,cefr_weighted_f1,meaningbert_source,meaningbert_reference,source_exact_rate,mean_revisions
human_reference_oracle,ALL,200,0.625,1.0,0.6123724356957945,0.6464867753139193,80.83811561584473,94.40643180847168,0.0,0.0
human_reference_oracle,A2,100,0.64,1.0,0.6,0.7804878048780488,77.11826866149903,94.51179527282714,0.0,0.0
human_reference_oracle,B1,100,0.61,1.0,0.6244997998398398,0.7577639751552795,84.55796257019043,94.30106834411622,0.0,0.0
